Sem,OV,Item,Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,Serra/Lam,Ordem Prod,Hrs.,Total,Lixadora,Hrs.,Total,BLOCO,Descrição Bloco,QTD,ESTADO,OBSERVAÇÕES
6,3820005227,60,1600023161,70003941,"PL CC 8872/S21 940X640X75,0 CV",S21,700,700,CNMSERPL,1600023162,12.73,714,1600023161,8.75,700,70005853,BL CC 8872/ORT 940X640X250 NE,240.3,OK,
6,3820005229,20,1600023317,70003976,"PL CC 8003/S21 940X640X89,0 CV",S21,500,500,CNMSERPL,1600023318,9.09,503,1600023317,8.33,500,70005845,BL CC 8003/ORT 940X640X250 NE,258.3,OK,PRIORIDADE 11/02
6,3820006944,10,1600032078,70003813,"PL CC 8002/000 915X610X25,0 SP",0,1 320,1 320,CNMLAMPL,1600032079,5.24,1 324,,,0,70005496,BL CC 8002/ORT 915X610X250 NE,134.6,OK,
6,3820007372,10,1600036654,70000314,"PL CC 8405/000 1000X500X2,0 PC",0,10 360,10 360,CNMLAMPL,1600036655,13.46,10 369,,,0,70005527,BL CC 8405/ORT 1000X500X210 NE,99.9,OK,
6,3820006326,10,1600029266,70001983,"PL CC 8002/E01 1000X500X10,0 01",E01,10 560,10 560,CNMLAMPL,1600029267,31.43,10 840,,,0,70005521,BL CC 8002/ORT 1000X500X210 NE,538.6,OK,
6,3820006944,20,1600035779,70023076,"PL CC 8003/000 915X610X9,0 10",0,204,204,CNMLAMPL,1600035880,0.58,204,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,7.8,OK,
6,3820005804,60,1600027085,70021739,"PL CC 8003/000 915X610X3,0 PH",0,2 000,2 000,CNMLAMPL,1600027086,3.23,2 000,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,24.9,OK,
6,3820005754,20,1600026022,70003572,"PL CC 8003/S21 940X640X60,0 PT",S21,70,70,CNMSERPL,1600026024,1.17,70,1600026023,0.7,70,70005845,BL CC 8003/ORT 940X640X250 NE,19.4,OK,
6,3820005754,10,1600026019,70004077,"PL CC 8003/S21 940X640X30,0 PA",S21,70,70,CNMSERPL,1600026021,1.08,0,1600026020,0.22,70,70005845,BL CC 8003/ORT 940X640X250 NE,10.3,OK,
6,3820006384,10,1600029520,70004855,"PL CC 8405/000 1030X530X13,0 00",0,0,0,CNMLAMPL,1600029521,19.23,0,,,0,70005996,BL CC 8405/ORT 1035X535X210 NE,270.1,OK,Replaneada
